name,make,model,kilometerdriven,ownernumber,price,fueltype_num,transmission_num,isc24assured_num,age
Hyundai Elite i20,Hyundai,Elite I20,35939,2,607000,1,1,0,8
Maruti Alto 800,Maruti,Alto 800,6180,1,326000,2,1,0,9
Maruti Dzire,Maruti,Dzire,46808,1,640000,2,1,0,6
KIA SELTOS,Kia,Seltos,26045,1,1354000,3,1,0,5
Maruti Ertiga,Maruti,Ertiga,53056,1,676000,1,1,0,8
Ford Ecosport,Ford,Ecosport,85905,1,468000,1,1,0,11
Toyota Innova,Toyota,Innova,353288,1,615000,3,1,1,13
Toyota Innova Crysta,Toyota,Innova Crysta,91964,2,1614000,1,2,0,8
Tata Tiago,Tata,Tiago,47440,2,452000,1,1,0,8
Volkswagen Polo,Volkswagen,Polo,77595,1,368600,3,1,0,10
Toyota Etios Liva,Toyota,Etios Liva,49804,1,611000,1,1,0,7
Volkswagen Ameo,Volkswagen,Ameo,62492,2,428000,1,1,0,7
Ford Ecosport,Ford,Ecosport,53429,1,510899,1,1,0,11
Nissan Terrano,Nissan,Terrano,76646,2,544899,1,1,0,11
Maruti Swift,Maruti,Swift,24287,1,484000,1,1,0,9
Skoda Rapid,Skoda,Rapid,62923,1,238000,1,1,0,13
Volkswagen Polo,Volkswagen,Polo,59938,1,559200,1,1,0,6
Maruti Celerio,Maruti,Celerio,11828,1,492000,1,1,0,4
Maruti Swift,Maruti,Swift,37197,2,377999,1,1,0,11
Hyundai Santro Xing,Hyundai,Santro Xing,49959,1,242399,1,1,0,12
Renault Kwid,Renault,Kwid,43365,1,386000,1,1,0,5
Maruti Alto K10,Maruti,Alto K10,77123,1,213499,1,1,0,15
Volkswagen Ameo,Volkswagen,Ameo,50076,1,500000,1,1,0,8
Maruti New  Wagon-R,Maruti,New  Wagon-R,31023,1,627000,2,1,0,4
Maruti Celerio,Maruti,Celerio,26125,1,396000,1,1,0,8
Maruti Ertiga,Maruti,Ertiga,78855,2,870000,1,2,0,6
Jeep Compass,Jeep,Compass,45323,1,1267000,1,2,0,7
Hyundai VENUE,Hyundai,Venue,6905,1,918000,1,1,0,3
Maruti New  Wagon-R,Maruti,New  Wagon-R,25028,1,654000,2,1,0,4
Tata Tiago,Tata,Tiago,58908,1,360000,1,1,0,9
Renault Kwid,Renault,Kwid,78870,1,338000,1,1,0,6
Hyundai i10,Hyundai,I10,63818,1,269000,1,1,0,14
Hyundai Creta,Hyundai,Creta,71568,1,1345000,3,1,0,7
Tata NEXON,Tata,Nexon,17141,1,1048000,1,0,0,4
Maruti Swift Dzire,Maruti,Swift Dzire,6489,1,453599,1,1,0,11
Maruti Swift,Maruti,Swift,11994,1,517999,1,1,0,6
Maruti New  Wagon-R,Maruti,New  Wagon-R,31313,1,671000,2,1,0,4
Maruti Alto 800,Maruti,Alto 800,71784,1,220999,1,1,0,10
Maruti Baleno,Maruti,Baleno,19206,1,493699,1,1,0,8
Hyundai Creta,Hyundai,Creta,65144,1,983300,3,1,0,6
Hyundai i20 Active,Hyundai,I20 Active,94575,2,497000,2,1,0,10
Hyundai Elite i20,Hyundai,Elite I20,26510,2,461000,1,1,0,10
Hyundai Santro Xing,Hyundai,Santro Xing,24698,1,197199,1,1,0,13
Mahindra Scorpio,Mahindra,Scorpio,52999,1,951000,3,1,1,8
Audi A3,Audi,A3,91887,2,966000,3,2,1,11
Maruti New  Wagon-R,Maruti,New  Wagon-R,26118,2,445000,1,1,0,5
Hyundai Elite i20,Hyundai,Elite I20,70031,2,507000,1,1,0,10
Maruti IGNIS,Maruti,Ignis,49519,1,483000,1,1,0,7
Mahindra TUV300,Mahindra,Tuv300,42979,1,624799,3,1,0,7
Honda Accord,Honda,Accord,63041,1,508000,1,1,0,14
Hyundai i10,Hyundai,I10,26540,1,418000,1,1,0,9
Honda City,Honda,City,51469,2,737000,1,2,0,10
Maruti XL6,Maruti,Xl6,18212,1,1076000,1,1,0,5
Hyundai Creta,Hyundai,Creta,58528,1,919000,3,1,0,8
Volkswagen Polo,Volkswagen,Polo,28361,1,623000,1,1,0,7
Hyundai Elite i20,Hyundai,Elite I20,86102,2,490000,3,1,0,11
Datsun Redi Go,Datsun,Redi Go,41919,1,317000,2,1,0,6
Hyundai i10,Hyundai,I10,94231,1,377000,1,1,0,11
Honda Jazz,Honda,Jazz,46178,1,325000,1,1,0,14
KIA SELTOS,Kia,Seltos,8902,1,1217000,1,1,0,5
Maruti Swift,Maruti,Swift,82644,1,536000,2,1,0,7
Hyundai Creta,Hyundai,Creta,73150,1,896699,3,1,0,6
Hyundai Creta,Hyundai,Creta,21176,1,1194000,3,1,0,5
Ford Ecosport,Ford,Ecosport,78870,1,523000,3,1,0,9
MG HECTOR,Mg,Hector,69338,1,1536000,3,1,0,5
Maruti Alto K10,Maruti,Alto K10,21188,1,349000,1,1,0,8
Mahindra XUV500,Mahindra,Xuv500,50022,2,1070000,3,2,0,9
Maruti New  Wagon-R,Maruti,New  Wagon-R,38290,1,583000,2,1,0,6
Tata NEXON,Tata,Nexon,65714,1,672000,2,1,0,7
Skoda KUSHAQ,Skoda,Kushaq,15761,1,1155000,1,0,0,3
Maruti Celerio,Maruti,Celerio,77475,2,369000,1,2,0,11
Maruti Alto 800,Maruti,Alto 800,13951,1,309000,1,1,0,7
Honda Amaze,Honda,Amaze,82397,1,278000,1,1,0,12
Maruti Swift,Maruti,Swift,75606,1,375099,1,1,0,13
Maruti Swift,Maruti,Swift,371,1,635000,1,1,0,3
Maruti Alto,Maruti,Alto,4061,1,419000,1,1,0,3
Honda Amaze,Honda,Amaze,63946,1,354000,1,1,0,11
Maruti Alto,Maruti,Alto,6040,1,392000,1,1,0,3
Maruti Swift,Maruti,Swift,21299,1,261499,1,1,0,15
Maruti Ertiga,Maruti,Ertiga,21655,1,893000,3,1,0,8
Honda City,Honda,City,35832,1,1135000,1,2,0,7
Mahindra KUV 100 NXT,Mahindra,Kuv 100 Nxt,40676,2,430100,1,1,0,7
Hyundai Elite i20,Hyundai,Elite I20,72521,3,437000,1,1,0,10
Maruti Alto K10,Maruti,Alto K10,25603,1,413000,1,1,0,6
Tata NEXON,Tata,Nexon,30356,1,1119000,1,1,0,5
Renault Kwid,Renault,Kwid,63720,2,234099,1,1,0,9
Maruti Ertiga,Maruti,Ertiga,44603,1,522000,1,1,0,12
Hyundai Verna,Hyundai,Verna,73664,1,523699,1,1,0,9
Renault TRIBER,Renault,Triber,43793,1,612000,1,1,0,5
Hyundai Grand i10,Hyundai,Grand I10,13909,1,538000,1,1,0,8
Hyundai VENUE,Hyundai,Venue,57770,1,1006000,1,2,0,6
Hyundai Creta,Hyundai,Creta,52045,1,775000,1,1,0,10
Maruti Dzire,Maruti,Dzire,56335,1,661000,3,1,0,7
Hyundai Elite i20,Hyundai,Elite I20,66487,1,779000,3,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,80533,1,433000,1,1,0,10
Volkswagen Polo,Volkswagen,Polo,64581,1,621000,1,1,0,7
Volkswagen Polo,Volkswagen,Polo,52942,1,527000,1,1,0,9
Datsun Go,Datsun,Go,21741,1,312000,1,1,0,8
Honda Amaze,Honda,Amaze,73209,2,479000,2,1,0,8
Hyundai Verna,Hyundai,Verna,29373,1,1325000,3,2,0,6
Tata TIGOR,Tata,Tigor,4725,1,760699,2,0,0,3
Hyundai Grand i10,Hyundai,Grand I10,69959,1,407000,1,1,0,9
Maruti Swift,Maruti,Swift,40110,1,321000,1,1,0,13
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,57606,1,448000,2,1,0,8
Renault Kwid,Renault,Kwid,39111,1,363000,1,1,0,6
Maruti Celerio,Maruti,Celerio,72908,1,376000,1,1,0,10
Ford Ecosport,Ford,Ecosport,39576,1,1034000,3,1,0,6
Honda Amaze,Honda,Amaze,13100,1,464000,1,2,0,10
Tata Tiago,Tata,Tiago,7917,1,507000,1,1,0,6
Honda Jazz,Honda,Jazz,25238,1,438000,1,1,0,7
Mahindra Bolero,Mahindra,Bolero,38143,1,886000,3,1,0,4
Maruti Swift Dzire,Maruti,Swift Dzire,70169,1,347000,1,1,0,15
Hyundai Verna,Hyundai,Verna,13163,1,903000,1,1,0,8
Maruti Swift Dzire,Maruti,Swift Dzire,31135,1,485000,1,1,0,11
Maruti New  Wagon-R,Maruti,New  Wagon-R,46192,1,591000,2,1,0,5
Hyundai Elite i20,Hyundai,Elite I20,72108,1,533000,1,1,0,11
Maruti Baleno,Maruti,Baleno,43638,1,530000,1,1,0,8
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,71530,1,493999,2,1,0,7
Maruti Alto,Maruti,Alto,75079,1,424000,2,1,0,6
Tata Tiago,Tata,Tiago,18624,1,509000,1,1,0,6
Hyundai Grand i10,Hyundai,Grand I10,29441,1,373899,1,1,0,11
Hyundai i20,Hyundai,I20,86688,1,292000,1,1,0,13
Hyundai i10,Hyundai,I10,28556,1,244000,1,1,0,13
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,69379,2,509000,2,1,0,7
Hyundai Verna,Hyundai,Verna,40226,1,839000,1,1,0,7
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,69081,1,478699,2,1,0,7
Maruti Swift Dzire,Maruti,Swift Dzire,77037,2,356000,1,1,0,13
Hyundai Creta,Hyundai,Creta,81892,3,819000,3,1,0,9
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,67081,2,183000,1,1,0,15
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,45669,1,351000,1,1,0,9
Maruti Ertiga,Maruti,Ertiga,75586,1,647000,1,1,0,10
Toyota Etios Liva,Toyota,Etios Liva,41363,2,434000,1,1,0,10
Nissan MAGNITE,Nissan,Magnite,13717,1,763000,1,0,0,4
Maruti Dzire,Maruti,Dzire,53877,1,642000,1,1,0,6
Hyundai Creta,Hyundai,Creta,39194,1,1276000,3,2,0,8
Skoda Rapid,Skoda,Rapid,84458,2,484000,3,1,0,11
Maruti Swift Dzire,Maruti,Swift Dzire,33166,1,420000,1,1,0,12
Hyundai Accent,Hyundai,Accent,83947,2,217000,1,1,0,16
Mahindra Bolero,Mahindra,Bolero,29954,1,824300,3,1,0,6
Maruti Swift,Maruti,Swift,53768,2,546400,3,1,0,8
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,23371,1,330000,1,1,0,11
Mercedes Benz E Class,Mercedes Benz,E Class,53524,1,1068000,3,2,1,12
Hyundai Elite i20,Hyundai,Elite I20,46864,3,545000,1,1,0,9
Hyundai NEW I20,Hyundai,New I20,4619,1,757000,1,1,0,5
Maruti Celerio,Maruti,Celerio,13207,1,523000,1,1,0,6
Maruti Swift Dzire,Maruti,Swift Dzire,46303,1,418000,1,1,0,10
Hyundai Elite i20,Hyundai,Elite I20,71895,3,489000,1,1,0,11
Hyundai Elite i20,Hyundai,Elite I20,84581,1,555000,1,1,0,8
Maruti Swift,Maruti,Swift,51595,2,355000,1,1,0,12
Hyundai Elite i20,Hyundai,Elite I20,86383,1,549000,1,1,0,10
Hyundai Elite i20,Hyundai,Elite I20,35503,1,716000,1,1,0,6
Hyundai Elite i20,Hyundai,Elite I20,37564,1,634000,1,1,0,7
Hyundai Verna,Hyundai,Verna,85267,2,428000,1,1,0,12
Honda Amaze,Honda,Amaze,81394,1,389000,1,1,0,10
Volkswagen Polo,Volkswagen,Polo,70226,1,618400,3,1,0,9
Maruti Ertiga,Maruti,Ertiga,93736,2,556000,1,1,0,12
Maruti Dzire,Maruti,Dzire,69564,1,730000,3,2,0,8
Ford Ecosport,Ford,Ecosport,77788,1,776000,3,1,0,6
Toyota Etios,Toyota,Etios,48638,1,579000,1,1,0,9
Honda Amaze,Honda,Amaze,68492,1,365000,1,1,0,11
Hyundai NEW SANTRO,Hyundai,New Santro,27433,1,579599,2,0,0,5
Maruti Ciaz,Maruti,Ciaz,30411,1,791000,1,1,0,6
Hyundai i20,Hyundai,I20,49366,1,365199,1,1,0,11
Maruti XL6,Maruti,Xl6,15561,1,1040000,1,1,0,6
Hyundai AURA,Hyundai,Aura,44789,1,814000,2,1,0,5
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,47526,2,285499,1,1,0,12
Hyundai Elite i20,Hyundai,Elite I20,25724,1,581000,1,1,0,7
Maruti Ciaz,Maruti,Ciaz,88735,1,626000,3,1,1,9
Volkswagen Polo,Volkswagen,Polo,13408,1,843000,1,1,0,4
Volkswagen Ameo,Volkswagen,Ameo,42382,1,578000,3,2,0,8
Volkswagen Ameo,Volkswagen,Ameo,22434,1,450199,1,1,0,9
Hyundai Elite i20,Hyundai,Elite I20,66626,1,482000,1,1,0,10
Honda City,Honda,City,85916,1,463000,1,1,0,12
Maruti Alto 800,Maruti,Alto 800,97842,1,328000,1,1,0,8
Maruti Ciaz,Maruti,Ciaz,70019,1,780000,1,1,0,6
Renault Duster,Renault,Duster,34396,1,734000,2,2,0,7
Maruti Ciaz,Maruti,Ciaz,56700,1,614499,3,1,0,8
Maruti Alto,Maruti,Alto,37228,1,543000,2,1,0,4
Maruti Dzire,Maruti,Dzire,44629,1,597000,1,1,0,5
Maruti S Cross,Maruti,S Cross,39649,1,777000,3,1,0,7
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,26529,1,397000,1,1,0,8
Volkswagen Polo,Volkswagen,Polo,47302,2,454000,1,1,0,10
Mahindra Scorpio,Mahindra,Scorpio,56696,1,1479000,3,1,0,5
Maruti Baleno,Maruti,Baleno,48173,1,579000,1,2,0,7
Maruti Ciaz,Maruti,Ciaz,14738,1,720000,1,1,0,6
Maruti Vitara Brezza,Maruti,Vitara Brezza,10191,1,951000,1,1,0,4
Jaguar XF,Jaguar,Xf,29159,2,1506000,3,2,0,12
Hyundai VENUE,Hyundai,Venue,29056,1,791000,1,1,0,4
MG HECTOR,Mg,Hector,40223,2,1365000,1,2,0,6
Volkswagen Polo,Volkswagen,Polo,34266,1,525000,1,1,0,10
KIA SELTOS,Kia,Seltos,35854,1,1177000,1,1,0,6
Maruti Dzire,Maruti,Dzire,64275,2,869299,3,1,0,6
Tata NEXON,Tata,Nexon,27587,1,687800,1,1,0,7
Hyundai Grand i10,Hyundai,Grand I10,25931,1,469799,1,1,0,9
Maruti Baleno,Maruti,Baleno,41029,1,504699,1,1,0,8
Maruti Alto,Maruti,Alto,14121,1,362000,1,1,0,4
Maruti Baleno,Maruti,Baleno,41612,2,510000,1,1,0,7
Hyundai VENUE,Hyundai,Venue,30227,2,867000,1,1,0,5
Honda Amaze,Honda,Amaze,62386,2,476800,3,1,0,8
Hyundai Elite i20,Hyundai,Elite I20,89784,1,624000,2,1,0,8
Tata Tiago,Tata,Tiago,53668,1,419000,1,1,0,7
Maruti Ciaz,Maruti,Ciaz,29713,1,1101000,1,1,0,3
Maruti Vitara Brezza,Maruti,Vitara Brezza,40741,1,878000,1,1,0,5
Maruti Vitara Brezza,Maruti,Vitara Brezza,90969,1,672000,3,1,0,8
Maruti Swift Dzire,Maruti,Swift Dzire,44599,1,388000,1,1,0,13
Hyundai Grand i10,Hyundai,Grand I10,51693,1,510000,1,2,0,8
Maruti Celerio,Maruti,Celerio,50889,1,556000,2,1,0,7
Hyundai Creta,Hyundai,Creta,42908,1,816000,3,1,0,8
Hyundai Eon,Hyundai,Eon,46556,1,277000,1,1,0,10
Hyundai Elite i20,Hyundai,Elite I20,37337,1,599000,1,1,0,9
Volkswagen Polo,Volkswagen,Polo,39227,2,374000,1,1,0,12
Maruti S Cross,Maruti,S Cross,67477,1,665000,3,1,0,7
Volkswagen Ameo,Volkswagen,Ameo,84163,1,587000,3,2,0,7
Volkswagen Polo,Volkswagen,Polo,23423,1,989000,1,2,0,3
Maruti Alto 800,Maruti,Alto 800,37603,2,264000,2,1,0,12
Hyundai Creta,Hyundai,Creta,57562,2,760299,1,1,0,8
Maruti Swift,Maruti,Swift,59839,1,676000,1,2,0,7
Hyundai i10,Hyundai,I10,37961,1,287999,1,1,0,13
Maruti Alto 800,Maruti,Alto 800,46101,3,278000,1,1,0,9
Maruti Swift Dzire,Maruti,Swift Dzire,58920,1,381000,1,1,0,11
Ford Ecosport,Ford,Ecosport,100894,1,695000,3,1,0,5
Maruti Swift Dzire,Maruti,Swift Dzire,64987,1,571000,3,1,0,11
Hyundai Elite i20,Hyundai,Elite I20,35165,1,683000,1,1,0,6
Hyundai New Elantra,Hyundai,New Elantra,75230,1,1155000,3,2,0,8
Maruti A Star,Maruti,A Star,78076,1,279000,1,1,0,13
Hyundai Elite i20,Hyundai,Elite I20,57762,2,432000,1,1,0,9
Maruti Swift,Maruti,Swift,35757,3,319000,1,1,0,13
Renault Kwid,Renault,Kwid,53413,1,439000,1,2,0,6
Honda City,Honda,City,59054,2,556000,1,1,0,10
Hyundai i20,Hyundai,I20,56929,2,343200,1,1,0,15
Hyundai AURA,Hyundai,Aura,4799,1,672000,1,1,0,5
Hyundai Verna,Hyundai,Verna,18106,1,507000,1,1,0,11
Hyundai Elite i20,Hyundai,Elite I20,22543,1,692000,1,1,0,6
Honda City,Honda,City,94426,2,472000,3,1,0,11
Maruti Baleno,Maruti,Baleno,80126,1,477000,1,1,0,10
Volkswagen Ameo,Volkswagen,Ameo,13886,1,641000,1,1,0,6
Maruti Baleno,Maruti,Baleno,14340,1,783000,1,1,0,4
Maruti Baleno,Maruti,Baleno,35521,1,535299,1,1,0,7
Hyundai Elite i20,Hyundai,Elite I20,33320,1,640000,1,1,0,6
Maruti Baleno,Maruti,Baleno,50446,1,558000,1,0,0,9
Datsun Redi Go,Datsun,Redi Go,99957,1,243000,1,1,0,8
Hyundai Elite i20,Hyundai,Elite I20,52303,2,688000,1,1,0,7
Honda City,Honda,City,26537,1,714000,1,2,0,11
Hyundai Elite i20,Hyundai,Elite I20,52830,1,509000,1,1,0,9
Tata Harrier,Tata,Harrier,28625,2,1426000,3,1,0,5
Maruti Vitara Brezza,Maruti,Vitara Brezza,39210,1,791900,3,1,0,6
Renault Kwid,Renault,Kwid,34671,1,354000,1,1,0,5
Hyundai i10,Hyundai,I10,80045,1,289000,1,1,0,14
Maruti Alto 800,Maruti,Alto 800,58376,1,322000,2,1,0,6
Volkswagen Vento,Volkswagen,Vento,29442,1,649000,1,2,0,10
Maruti Baleno,Maruti,Baleno,9981,1,641000,1,1,0,4
Maruti Vitara Brezza,Maruti,Vitara Brezza,57743,1,813000,3,1,0,7
Maruti Swift,Maruti,Swift,90834,2,365000,3,1,0,14
Ford Figo Aspire,Ford,Figo Aspire,74534,1,563000,2,1,0,7
Maruti Swift Dzire,Maruti,Swift Dzire,22020,1,508000,1,1,0,10
Hyundai Grand i10,Hyundai,Grand I10,89509,1,333399,3,1,0,11
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,57943,1,510499,1,2,0,7
Maruti Baleno,Maruti,Baleno,75443,1,676000,1,2,0,6
Hyundai Eon,Hyundai,Eon,86805,1,158699,1,1,0,14
Hyundai Elite i20,Hyundai,Elite I20,70734,1,718000,3,1,0,8
Hyundai i10,Hyundai,I10,73166,3,281000,2,1,0,14
Jeep Compass,Jeep,Compass,50875,1,1070000,3,1,0,8
Tata Hexa,Tata,Hexa,59081,2,1382000,3,2,0,7
Renault Kiger,Renault,Kiger,4909,1,764000,1,0,0,4
Hyundai Elite i20,Hyundai,Elite I20,35055,2,574000,1,1,0,7
Maruti Celerio,Maruti,Celerio,46574,1,444000,2,1,0,8
Renault Kwid,Renault,Kwid,9475,1,366000,1,1,0,6
Honda Brio,Honda,Brio,23723,1,330999,1,1,0,13
Hyundai Creta,Hyundai,Creta,33199,1,1101599,1,2,0,7
Hyundai Verna,Hyundai,Verna,87829,2,917599,3,1,0,6
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,18933,1,409000,1,1,0,7
Honda City,Honda,City,62834,1,1098000,1,2,0,5
